void,Reff,ratio,dist,y_major,y_inter,y_minor,D,Dc
394,17.065482724017937,1.3566596257636079,297.1342025088415,-4.578865193069647e-07,-2.2423694424298935e-07,4.233499401827248e-09,-4.6212001870879195e-07,-2.284704436448166e-07
395,17.83791454865348,1.3437043012956364,237.86085567066402,9.955362142089475e-07,-2.535308888670136e-07,2.643841161349336e-07,7.311520980740139e-07,-5.179150050019472e-07
397,16.491517681245462,1.3578606594232219,76.82062451306078,-1.0552272559215141e-07,-4.760510303810687e-08,-1.5337414704966169e-07,4.7851421457510276e-08,1.0576904401155481e-07
400,16.98508849217321,1.381885051257701,293.4763698335262,-2.0309416632085642e-07,-1.9848313933698774e-07,1.5113266905628735e-07,-3.5422683537714377e-07,-3.496158083932751e-07
401,16.491793128666206,1.3128619262359096,311.39045815987276,2.2819751716112005e-07,2.938095072569016e-07,8.758888474535327e-07,-6.476913302924127e-07,-5.820793401966311e-07
402,16.66575168054234,1.319641707118192,272.5229949601897,-5.977784353486213e-07,-4.3335641470480815e-07,-4.4072591755588926e-07,-1.5705251779273207e-07,7.3695028510811155e-09
410,15.690390823428569,1.3169035469721901,116.92963847501572,-2.3281961998905002e-07,1.5068737942046123e-07,-1.374321822148767e-07,-9.538743777417332e-08,2.8811956163533793e-07
436,16.32197843882988,1.40233058031537,191.33975239014867,-1.0600776408665065e-07,-2.9760900228311087e-07,-4.321650689549556e-07,3.26157304868305e-07,1.3455606667184475e-07
442,17.385938792549766,1.3025526097061515,258.96858689196335,1.3359934503792724e-07,1.5675536515193977e-07,-2.2937296644934437e-07,3.629723114872716e-07,3.8612833160128414e-07
446,16.684491991473163,1.3809000842869879,202.60087568961143,-1.5814685250837714e-07,-8.885481942485345e-08,-1.4659376593565829e-07,-1.1553086572718858e-08,5.7738946510804835e-08
450,17.125528235696635,1.3216181231386621,262.1238620371108,1.6256090308624679e-09,-2.003213773863288e-07,-2.322490085440198e-07,2.3387461757488228e-07,3.1927631157691017e-08
451,16.640679017627427,1.4143407803274004,291.02543858877146,4.240288904386151e-07,3.771652289683195e-08,-2.1718479480782293e-07,6.412136852464381e-07,2.5490131770465486e-07
454,17.205993477896293,1.4535451903678591,297.70552455277783,2.3440980397300837e-07,4.897439783727035e-07,5.792016728268774e-07,-3.4479186885386904e-07,-8.945769445417389e-08
457,16.94028244590645,1.3312741605132499,214.1202532712908,1.6948039480218288e-07,6.54832099950631e-08,-1.6384191327152316e-07,3.3332230807370603e-07,2.2932512326658625e-07
468,16.457011744709778,1.335579696469254,243.43278155483563,-3.416723687898445e-07,-3.5939151457989133e-07,-2.417525918270138e-07,-9.991977696283071e-08,-1.1763892275287755e-07
470,16.636526207331226,1.3202742178539302,232.81925429864765,6.316178581142521e-08,-2.2838796857698946e-07,5.539254210423238e-07,-4.907636352308986e-07,-7.823133896193133e-07
